region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
395143,91,Syracuse,NY,0.59,0.54,0.42,0.34,0.41,0.36,0.20,0.28,0.35,0.26,0.20,0.30,0.39,0.35
395006,92,Provo,UT,0.53,0.43,0.43,0.33,0.25,0.16,0.18,0.26,0.26,0.19,0.39,0.59,0.60,0.52
395160,93,Toledo,OH,0.67,0.62,0.50,0.47,0.52,0.39,0.31,0.39,0.45,0.33,0.32,0.44,0.53,0.50
395224,94,Wichita,KS,0.52,0.45,0.35,0.38,0.41,0.28,0.26,0.34,0.33,0.21,0.25,0.35,0.41,0.32
394549,95,Durham,NC,0.59,0.47,0.44,0.38,0.38,0.22,0.16,0.22,0.27,0.17,0.24,0.48,0.55,0.47
394352,96,Augusta,GA,0.50,0.44,0.40,0.37,0.37,0.34,0.29,0.33,0.32,0.26,0.28,0.39,0.45,0.45
394957,97,Palm Bay,FL,0.73,0.67,0.66,0.62,0.60,0.46,0.37,0.44,0.43,0.32,0.42,0.63,0.69,0.65
394711,98,Jackson,MS,0.74,0.69,0.64,0.58,0.57,0.48,0.41,0.47,0.47,0.40,0.42,0.57,0.61,0.59
394666,99,Harrisburg,PA,0.50,0.47,0.37,0.35,0.33,0.25,0.22,0.27,0.29,0.21,0.21,0.31,0.39,0.36
395113,100,Spokane,WA,0.44,0.31,0.27,0.26,0.27,0.16,0.14,0.25,0.28,0.18,0.30,0.49,0.52,0.41
395075,101,Scranton,PA,0.72,0.71,0.61,0.51,0.55,0.39,0.40,0.54,0.56,0.48,0.46,0.55,0.60,0.59
394460,102,Chattanooga,TN,0.60,0.53,0.47,0.44,0.44,0.34,0.31,0.37,0.39,0.29,0.38,0.53,0.56,0.47
394871,103,Modesto,CA,0.48,0.40,0.34,0.27,0.26,0.17,0.16,0.23,0.26,0.18,0.33,0.48,0.48,0.42
394768,104,Lancaster,PA,0.52,0.45,0.37,0.33,0.32,0.27,0.21,0.22,0.25,0.18,0.20,0.29,0.34,0.31
394997,105,Portland,ME,0.53,0.45,0.36,0.38,0.42,0.33,0.21,0.27,0.28,0.17,0.21,0.33,0.38,0.32
395245,106,Youngstown,OH,0.73,0.63,0.54,0.52,0.55,0.45,0.38,0.45,0.47,0.40,0.41,0.51,0.61,0.57
394770,107,Lansing,MI,0.59,0.52,0.40,0.37,0.41,0.30,0.23,0.32,0.38,0.26,0.25,0.41,0.50,0.42
394590,108,Fayetteville,AR,0.63,0.51,0.50,0.48,0.44,0.33,0.33,0.36,0.38,0.29,0.38,0.49,0.53,0.49
394589,109,Fayetteville,NC,0.54,0.48,0.38,0.32,0.33,0.26,0.18,0.21,0.22,0.18,0.19,0.28,0.34,0.31
394792,110,Lexington,KY,0.66,0.59,0.51,0.51,0.53,0.38,0.30,0.39,0.42,0.29,0.33,0.51,0.62,0.53
394971,111,Pensacola,FL,0.59,0.56,0.42,0.41,0.47,0.37,0.28,0.34,0.40,0.30,0.35,0.52,0.59,0.56
395068,112,Santa Rosa,CA,0.57,0.53,0.53,0.44,0.43,0.29,0.26,0.32,0.31,0.17,0.31,0.44,0.54,0.46
395019,113,Reno,NV,0.61,0.54,0.49,0.38,0.33,0.19,0.18,0.33,0.35,0.28,0.48,0.64,0.66,0.58
394698,114,Huntsville,AL,0.44,0.39,0.37,0.35,0.30,0.22,0.18,0.23,0.24,0.20,0.27,0.41,0.51,0.50
394995,115,Port St. Lucie,FL,0.83,0.78,0.72,0.70,0.66,0.51,0.41,0.40,0.40,0.36,0.46,0.62,0.71,0.71
394898,117,Myrtle Beach,SC,0.81,0.79,0.75,0.71,0.71,0.56,0.44,0.46,0.49,0.39,0.47,0.66,0.74,0.74
395116,118,Springfield,MO,0.59,0.52,0.46,0.46,0.45,0.34,0.30,0.37,0.41,0.30,0.37,0.51,0.60,0.56
395195,119,Visalia,CA,0.51,0.45,0.40,0.35,0.35,0.29,0.24,0.26,0.29,0.23,0.35,0.46,0.49,0.42
394746,120,Killeen,TX,0.52,0.45,0.38,0.37,0.33,0.24,0.20,0.24,0.27,0.21,0.27,0.41,0.52,0.50
394338,121,Asheville,NC,0.78,0.71,0.68,0.64,0.59,0.43,0.39,0.44,0.44,0.33,0.42,0.57,0.66,0.55
395244,122,York,PA,0.47,0.41,0.34,0.31,0.31,0.25,0.20,0.23,0.27,0.23,0.20,0.30,0.34,0.28
395183,123,Vallejo,CA,0.43,0.34,0.38,0.27,0.23,0.15,0.13,0.19,0.17,0.11,0.28,0.43,0.50,0.38
753917,124,Santa Maria,CA,0.59,0.55,0.57,0.48,0.43,0.29,0.22,0.25,0.29,0.22,0.34,0.51,0.54,0.45
395050,125,Salinas,CA,0.66,0.62,0.60,0.50,0.39,0.38,0.30,0.36,0.32,0.30,0.43,0.58,0.60,0.54
395048,126,Salem,OR,0.43,0.38,0.34,0.28,0.25,0.17,0.17,0.24,0.27,0.18,0.28,0.42,0.45,0.42
394870,127,Mobile,AL,0.49,0.51,0.49,0.48,0.46,0.37,0.35,0.39,0.43,0.34,0.40,0.46,0.54,0.48
395015,128,Reading,PA,0.49,0.45,0.40,0.35,0.33,0.32,0.24,0.26,0.30,0.24,0.20,0.28,0.33,0.29
394502,129,Corpus Christi,TX,0.69,0.63,0.62,0.60,0.56,0.49,0.41,0.45,0.50,0.46,0.49,0.60,0.67,0.63
394820,131,Manchester,NH,0.36,0.30,0.23,0.24,0.24,0.13,0.12,0.19,0.19,0.11,0.15,0.26,0.32,0.24
394612,132,Fort Wayne,IN,0.41,0.40,0.39,0.38,0.41,0.30,0.23,0.31,0.33,0.25,0.29,0.42,0.48,0.40
394658,133,Gulfport,MS,0.47,0.44,0.44,0.49,0.43,0.43,0.52,0.41,0.54,0.48,0.51,0.61,0.66,0.61
395051,134,Salisbury,DE,0.72,0.69,0.66,0.52,0.48,0.38,0.32,0.38,0.42,0.33,0.39,0.50,0.60,0.57
394596,135,Flint,MI,0.61,0.54,0.48,0.41,0.41,0.30,0.25,0.34,0.41,0.33,0.35,0.49,0.53,0.53
394972,136,Peoria,IL,0.82,0.79,0.74,0.72,0.74,0.60,0.52,0.57,0.63,0.46,0.42,0.59,0.66,0.60
394439,137,Canton,OH,0.62,0.53,0.44,0.42,0.47,0.34,0.26,0.36,0.40,0.30,0.35,0.44,0.51,0.47
395070,138,Savannah,GA,0.62,0.59,0.56,0.54,0.50,0.37,0.30,0.31,0.29,0.21,0.26,0.39,0.48,0.44
394372,140,Beaumont,TX,0.65,0.55,0.55,0.61,0.59,0.52,0.51,0.57,0.55,0.53,0.54,0.56,0.61,0.56
395096,141,Shreveport,LA,0.62,0.58,0.59,0.58,0.58,0.46,0.39,0.41,0.42,0.39,0.41,0.49,0.53,0.51
395164,142,Trenton,NJ,0.72,0.63,0.59,0.45,0.42,0.31,0.23,0.27,0.28,0.23,0.18,0.29,0.39,0.37
394875,143,Montgomery,AL,0.78,0.71,0.68,0.62,0.63,0.49,0.41,0.41,0.38,0.36,0.36,0.49,0.57,0.49
394520,144,Davenport,IL,0.72,0.68,0.61,0.57,0.58,0.46,0.34,0.46,0.56,0.41,0.36,0.46,0.59,0.51
395146,145,Tallahassee,FL,0.57,0.52,0.51,0.49,0.47,0.38,0.33,0.41,0.41,0.29,0.32,0.46,0.50,0.47
394576,146,Eugene,OR,0.47,0.37,0.36,0.29,0.27,0.16,0.16,0.27,0.27,0.19,0.31,0.46,0.48,0.40
394901,147,Naples,FL,0.88,0.87,0.86,0.83,0.68,0.45,0.45,0.45,0.40,0.37,0.57,0.74,0.77,0.77
394332,148,Ann Arbor,MI,0.66,0.58,0.53,0.52,0.51,0.34,0.27,0.39,0.40,0.22,0.27,0.50,0.56,0.45
394927,149,Ocala,FL,0.71,0.67,0.68,0.63,0.62,0.51,0.40,0.43,0.45,0.38,0.43,0.58,0.65,0.64
394679,150,Hickory,NC,0.68,0.63,0.56,0.51,0.47,0.37,0.31,0.39,0.42,0.34,0.40,0.54,0.61,0.57
394602,152,Fort Collins,CO,0.59,0.49,0.48,0.47,0.41,0.20,0.16,0.28,0.27,0.19,0.24,0.45,0.52,0.41
